episodio,recompensa,entregas,steps,taxa_sucesso,sucesso_completo,colisoes,falha_r1,falha_r2,distancia
329,-5.3500000000000085,0,500,0.0,0.0,177,38,14,162
330,-2.8279999999999994,0,500,0.0,0.0,190,34,13,209
331,1.2680000000000147,0,500,0.0,0.0,250,47,33,287
332,-2.486,0,500,0.0,0.0,221,39,21,224
333,-1.6839999999999868,0,500,0.0,0.0,421,54,44,279
334,5.482000000000021,0,500,0.0,0.0,287,43,40,350
335,7.810000000000027,0,500,0.0,0.0,310,47,63,424
336,0.9760000000000044,0,500,0.0,0.0,454,45,73,344
337,0.29000000000000403,0,500,0.0,0.0,394,56,63,339
338,2.732000000000009,0,500,0.0,0.0,317,51,41,324
339,4.24400000000001,0,500,0.0,0.0,364,67,55,396
340,3.517999999999992,0,500,0.0,0.0,310,63,46,387
341,-3.972,0,500,0.0,0.0,483,52,56,301
342,-0.06399999999997641,0,500,0.0,0.0,652,92,63,316
343,7.342000000000005,0,500,0.0,0.0,363,53,63,443
344,11.626,0,500,0.0,0.0,196,76,45,512
345,1.000000000000024,0,500,0.0,0.0,207,36,34,320
346,7.97800000000003,0,500,0.0,0.0,338,70,42,390
347,8.922000000000038,0,500,0.0,0.0,509,75,78,455
348,7.15600000000007,0,500,0.0,0.0,225,40,37,398
349,-3.260000000000005,0,500,0.0,0.0,542,71,59,305
350,-4.962000000000006,0,500,0.0,0.0,503,63,67,343
351,14.812000000000001,0,500,0.0,0.0,319,76,64,622
352,-6.9360000000000035,0,500,0.0,0.0,348,69,47,390
353,-0.3699999999999739,0,500,0.0,0.0,447,54,58,342
354,1.2079999999999955,0,500,0.0,0.0,307,72,62,467
355,7.150000000000009,0,500,0.0,0.0,463,68,63,461
356,-2.9280000000000115,0,500,0.0,0.0,395,52,54,313
357,7.4559999999999915,0,500,0.0,0.0,310,81,64,536
358,4.394000000000005,0,500,0.0,0.0,331,50,63,577
359,7.764000000000065,0,500,0.0,0.0,418,72,64,484
360,20.410000000000025,0,500,0.0,0.0,246,62,65,596
361,7.9820000000000295,0,500,0.0,0.0,343,64,69,590
362,0.19999999999999446,0,500,0.0,0.0,143,61,50,526
363,3.6179999999999994,0,500,0.0,0.0,250,75,42,490
364,18.700000000000365,1,500,0.125,0.0,212,46,16,182
365,11.942000000000014,0,500,0.0,0.0,212,56,58,626
366,3.492000000000002,0,500,0.0,0.0,294,56,61,468
367,13.815999999999985,0,500,0.0,0.0,216,63,59,598
368,47.24799999999999,1,500,0.125,0.0,293,65,52,610
369,7.279999999999999,0,500,0.0,0.0,364,68,65,523
370,-6.998000000000004,0,500,0.0,0.0,474,70,44,336
371,-3.2680000000000065,0,500,0.0,0.0,363,63,37,327
372,-3.0940000000000065,0,500,0.0,0.0,500,67,77,414
373,0.035999999999992316,0,500,0.0,0.0,292,53,40,343
374,0.9799999999999911,0,500,0.0,0.0,322,41,68,409
375,-11.09599999999997,0,500,0.0,0.0,542,55,71,275
376,8.40200000000002,0,500,0.0,0.0,201,64,45,486
377,-8.598000000000004,0,500,0.0,0.0,514,71,60,248
378,-0.09599999999998626,0,500,0.0,0.0,572,79,68,351
379,15.567999999999993,0,500,0.0,0.0,198,54,55,632
380,31.11599999999994,1,500,0.125,0.0,325,63,58,402
381,-4.332000000000007,0,500,0.0,0.0,303,34,51,288
382,87.17199999999954,3,500,0.375,0.0,285,16,67,270
383,93.1959999999995,3,500,0.375,0.0,301,56,62,458
384,1.5079999999999918,0,500,0.0,0.0,503,64,60,382
385,0.6219999999999946,0,500,0.0,0.0,506,77,52,341
386,-3.8980000000000055,0,500,0.0,0.0,585,63,59,304
387,9.220000000000027,0,500,0.0,0.0,337,61,39,455
388,-0.794000000000009,0,500,0.0,0.0,259,48,37,336
389,25.358000000000274,1,500,0.125,0.0,300,36,56,275
390,60.70400000000004,2,500,0.25,0.0,254,42,48,354
391,-0.3780000000000063,0,500,0.0,0.0,176,35,31,363
392,7.824,0,500,0.0,0.0,124,28,62,464
393,56.30200000000008,2,500,0.25,0.0,203,47,55,369
394,-4.1460000000000115,0,500,0.0,0.0,179,15,58,272
395,-5.400000000000011,0,500,0.0,0.0,166,8,56,234
396,-7.004000000000015,0,500,0.0,0.0,194,13,34,183
397,-7.342000000000011,0,500,0.0,0.0,367,39,54,241
398,3.165999999999993,0,500,0.0,0.0,185,49,42,417
399,-0.8520000000000082,0,500,0.0,0.0,212,32,47,347
400,-0.12600000000000153,0,500,0.0,0.0,347,54,55,383
401,-2.0660000000000123,0,500,0.0,0.0,286,50,58,401
402,-6.680000000000008,0,500,0.0,0.0,292,32,59,321
403,-10.783999999999992,0,500,0.0,0.0,277,26,69,274
404,-10.43400000000002,0,500,0.0,0.0,266,14,60,245
405,-11.868000000000004,0,500,0.0,0.0,246,23,57,272
406,-10.369999999999983,0,500,0.0,0.0,193,27,30,177
407,-2.814000000000008,0,500,0.0,0.0,226,25,38,299
408,-6.192000000000011,0,500,0.0,0.0,225,44,52,359
409,10.571999999999992,0,500,0.0,0.0,190,65,49,611
410,3.9259999999999984,0,500,0.0,0.0,227,62,63,456
411,7.142000000000004,0,500,0.0,0.0,152,53,65,570
412,-6.378000000000009,0,500,0.0,0.0,639,78,69,304
413,34.75199999999982,1,500,0.125,0.0,203,32,69,468
414,-4.652000000000006,0,500,0.0,0.0,561,72,92,372
415,8.568000000000003,0,500,0.0,0.0,382,66,63,542
416,-1.9040000000000035,0,500,0.0,0.0,128,50,53,594
417,4.615999999999997,0,500,0.0,0.0,19,64,57,737
418,-3.0860000000000016,0,500,0.0,0.0,59,73,53,595
419,2.092000000000024,0,500,0.0,0.0,477,55,63,380
420,3.7939999999999956,0,500,0.0,0.0,281,56,61,455
421,1.1919999999999922,0,500,0.0,0.0,137,23,44,324
422,33.861999999999945,1,500,0.125,0.0,168,17,58,397
423,12.24599999999997,0,500,0.0,0.0,270,53,57,526
424,-3.752000000000005,0,500,0.0,0.0,312,27,59,349
425,2.5739999999999914,0,500,0.0,0.0,240,37,40,386
426,-0.008000000000002894,0,500,0.0,0.0,348,44,73,398
427,-7.528000000000005,0,500,0.0,0.0,435,50,49,351
428,-6.378000000000007,0,500,0.0,0.0,225,75,30,437
429,-1.084000000000006,0,500,0.0,0.0,132,14,52,277
430,-12.441999999999965,0,500,0.0,0.0,572,67,72,312
431,-3.1880000000000073,0,500,0.0,0.0,253,48,35,400
432,2.1119999999999934,0,500,0.0,0.0,304,75,56,488
433,-12.35399999999997,0,500,0.0,0.0,665,74,61,286
434,-7.6340000000000074,0,500,0.0,0.0,508,68,65,314
435,-4.736000000000008,0,500,0.0,0.0,112,26,26,216
436,-3.4380000000000073,0,500,0.0,0.0,437,76,50,383
437,18.640000000000015,0,500,0.0,0.0,95,69,53,712
438,9.35200000000001,0,500,0.0,0.0,184,72,51,640
439,5.702000000000007,0,500,0.0,0.0,497,61,65,433
440,2.467999999999994,0,500,0.0,0.0,267,71,60,569
441,-6.408000000000005,0,500,0.0,0.0,612,72,65,304
442,-9.067999999999994,0,500,0.0,0.0,454,72,19,183
443,12.181999999999995,0,500,0.0,0.0,183,56,42,565
444,-11.753999999999957,0,500,0.0,0.0,367,74,3,183
445,5.834000000000014,0,500,0.0,0.0,260,71,43,493
446,-8.422000000000004,0,500,0.0,0.0,515,49,68,235
447,5.788000000000006,0,500,0.0,0.0,270,58,52,538
448,25.416000000000242,1,500,0.125,0.0,206,65,16,332
449,37.02999999999981,1,500,0.125,0.0,252,50,58,518
450,0.5159999999999952,0,500,0.0,0.0,166,52,26,319
451,-0.3520000000000093,0,500,0.0,0.0,220,64,25,492
452,1.8939999999999917,0,500,0.0,0.0,353,56,64,419
453,4.883999999999994,0,500,0.0,0.0,170,57,35,531
454,-1.2339999999998417,0,500,0.0,0.0,71,12,23,131
455,-1.7580000000000076,0,500,0.0,0.0,126,54,39,405
456,-4.962000000000009,0,500,0.0,0.0,369,77,34,322
457,-5.373999999999971,0,500,0.0,0.0,5,2,3,46
458,30.23599999999999,1,500,0.125,0.0,191,49,52,477
459,28.536000000000037,1,500,0.125,0.0,286,67,29,377
460,1.471999999999994,0,500,0.0,0.0,354,69,62,423
461,-4.10599999999992,0,500,0.0,0.0,10,3,4,41
462,-4.846000000000004,0,500,0.0,0.0,439,54,58,322
463,23.350000000000257,1,500,0.125,0.0,336,64,62,381
464,-6.226000000000007,0,500,0.0,0.0,408,60,51,359
465,10.730000000000022,0,500,0.0,0.0,162,42,58,550
466,5.4119999999999875,0,500,0.0,0.0,218,43,37,427
467,4.848000000000001,0,500,0.0,0.0,213,55,37,505
468,0.4659999999999956,0,500,0.0,0.0,269,58,36,420
469,-10.893999999999975,0,500,0.0,0.0,349,14,77,251
470,1.0019999999999891,0,500,0.0,0.0,471,55,55,362
471,7.488000000000087,0,500,0.0,0.0,152,54,44,491
472,-3.106000000000006,0,500,0.0,0.0,237,34,33,206
473,-1.2480000000000133,0,500,0.0,0.0,251,48,11,151
474,6.630000000000002,0,500,0.0,0.0,208,75,37,467
475,-4.519999999999987,0,500,0.0,0.0,358,63,17,165
476,9.840000000000044,0,500,0.0,0.0,168,55,43,488
477,-4.9080000000000075,0,500,0.0,0.0,315,20,64,291
478,-5.132000000000008,0,500,0.0,0.0,292,46,62,346
479,16.429999999999996,0,500,0.0,0.0,205,67,54,656
480,14.249999999999982,0,500,0.0,0.0,255,63,66,614
481,-10.14199999999998,0,500,0.0,0.0,454,74,38,275
482,1.3819999999999963,0,500,0.0,0.0,418,58,76,480
483,11.138000000000005,0,500,0.0,0.0,298,67,47,522
484,5.671999999999993,0,500,0.0,0.0,232,36,58,411
485,-2.7000000000000064,0,500,0.0,0.0,482,72,56,408
486,0.8219999999999938,0,500,0.0,0.0,338,49,67,413
487,-11.791999999999954,0,500,0.0,0.0,550,50,63,266
488,-2.5119999999999925,0,500,0.0,0.0,645,69,69,281
489,-6.9980000000000135,0,500,0.0,0.0,521,67,64,378
490,4.797999999999995,0,500,0.0,0.0,312,41,53,377
491,118.18199999999955,4,500,0.5,0.0,149,29,27,263
492,-4.7800000000000145,0,500,0.0,0.0,306,60,53,303
493,-4.718,0,500,0.0,0.0,341,58,31,236
494,-13.994000000000009,0,500,0.0,0.0,355,10,76,167
495,128.06000000000068,4,500,0.5,0.0,146,22,65,412
496,-3.063999999999985,0,500,0.0,0.0,496,39,59,224
497,-3.839999999999997,0,500,0.0,0.0,338,12,56,183
498,-12.10399999999996,0,500,0.0,0.0,250,23,37,171
499,125.88799999999958,4,500,0.5,0.0,221,29,84,451
500,119.09199999999868,4,500,0.5,0.0,257,43,32,267
501,-2.679999999999953,0,500,0.0,0.0,473,28,69,202
502,118.59999999999832,4,500,0.5,0.0,201,28,40,243
503,63.34999999999977,2,500,0.25,0.0,260,44,48,362
504,117.72199999999883,4,500,0.5,0.0,347,46,45,268
505,-3.9260000000000135,0,500,0.0,0.0,534,71,50,280
506,2.357999999999996,0,500,0.0,0.0,372,74,35,392
507,-4.579999999999997,0,500,0.0,0.0,673,73,73,270
508,-4.528000000000008,0,500,0.0,0.0,313,38,49,248
509,4.067999999999992,0,500,0.0,0.0,407,62,61,446
510,88.46599999999933,3,500,0.375,0.0,302,55,46,297
511,113.24999999999795,4,500,0.5,0.0,299,31,33,179
512,117.90199999999979,4,500,0.5,0.0,246,46,22,280
513,-3.1740000000000146,0,500,0.0,0.0,449,74,61,321
514,-6.729999999999997,0,500,0.0,0.0,696,51,58,194
515,116.63199999999823,4,500,0.5,0.0,280,45,32,234
516,19.260000000000158,1,500,0.125,0.0,257,32,34,206
