episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2,distancia_percorrida
923,89.03500000000247,4,500,0.5,75,21,19,161
924,311.7649999999986,8,141,1.0,20,8,19,90
925,141.57499999999172,6,500,0.75,27,5,25,139
926,89.8650000000025,4,500,0.5,39,10,45,212
927,144.21500000000037,6,500,0.75,60,21,47,241
928,119.78500000000071,5,500,0.625,80,43,29,295
929,169.56999999999238,7,500,0.875,13,14,25,123
930,171.90499999999696,7,500,0.875,44,22,33,222
931,5.97000000000035,1,500,0.125,50,26,17,147
932,173.84999999999954,7,500,0.875,60,24,44,320
933,302.5249999999992,8,420,1.0,44,20,25,192
934,298.10499999999973,8,498,1.0,68,30,15,172
935,175.93499999999267,7,500,0.875,76,18,51,290
936,7.885000000000359,1,500,0.125,150,32,57,276
937,145.53999999999624,6,500,0.75,61,57,23,310
938,174.46999999999954,7,500,0.875,17,9,22,199
939,301.9299999999955,8,415,1.0,35,10,18,118
940,62.69000000000024,3,500,0.375,26,12,45,227
941,143.49499999999443,6,500,0.75,99,18,37,200
942,173.57499999999627,7,500,0.875,57,18,44,277
943,117.68000000000117,5,500,0.625,5,6,28,194
944,115.83000000000082,5,500,0.625,71,26,34,218
945,170.72999999999752,7,500,0.875,14,16,10,108
946,36.839999999997836,2,500,0.25,148,29,52,303
947,33.714999999997815,2,500,0.25,120,51,45,305
948,306.8599999999971,8,381,1.0,60,13,19,194
949,117.90000000000174,5,500,0.625,45,25,54,351
950,172.15999999999516,7,500,0.875,63,18,46,252
951,64.60500000000037,3,500,0.375,34,14,22,187
952,172.09999999999604,7,500,0.875,39,22,55,273
953,145.33499999999924,6,500,0.75,27,11,27,163
954,172.24000000000132,7,500,0.875,25,13,17,146
955,33.33499999999778,2,500,0.25,163,52,27,257
956,310.40999999999906,8,199,1.0,17,12,27,157
957,307.1299999999971,8,338,1.0,10,11,26,197
958,144.13999999999675,6,500,0.75,71,44,43,315
959,89.80000000000199,4,500,0.5,110,34,58,364
960,170.69500000000113,7,500,0.875,51,29,37,257
961,66.98999999999987,3,500,0.375,29,23,54,411
962,311.0299999999985,8,206,1.0,18,11,18,135
963,142.95999999999574,6,500,0.75,91,24,41,259
964,172.54999999999208,7,500,0.875,7,9,50,235
965,306.1649999999971,8,346,1.0,33,16,14,159
966,174.25499999999747,7,500,0.875,85,35,61,383
967,170.7949999999943,7,500,0.875,66,15,23,153
968,300.1149999999945,8,425,1.0,48,25,39,197
969,7.535000000000214,1,500,0.125,106,30,51,304
970,85.01000000000106,4,500,0.5,232,54,91,397
971,114.85499999999942,5,500,0.625,187,63,70,436
972,34.984999999999566,2,500,0.25,87,37,55,377
973,306.6499999999951,8,372,1.0,9,8,34,214
974,171.71999999999423,7,500,0.875,148,41,69,376
975,170.3649999999995,7,500,0.875,59,48,25,260
976,310.5749999999977,8,221,1.0,37,32,16,181
977,174.1899999999957,7,500,0.875,95,46,46,372
978,141.3649999999927,6,500,0.75,192,35,52,240
979,303.65999999999525,8,480,1.0,79,45,43,364
980,92.1950000000016,4,500,0.5,87,40,39,330
981,33.90499999999829,2,500,0.25,99,27,70,318
982,144.19499999999758,6,500,0.75,23,23,44,274
983,60.745000000001156,3,500,0.375,187,51,42,289
984,13.395000000000195,1,500,0.125,40,20,45,354
985,312.2099999999992,8,143,1.0,6,8,8,62
986,7.150000000000227,1,500,0.125,100,35,48,301
987,301.0749999999934,8,444,1.0,55,28,27,202
988,171.71499999999202,7,500,0.875,56,39,15,211
989,309.5800000000001,8,180,1.0,16,17,18,115
990,301.20000000000005,8,434,1.0,92,44,74,458
991,41.18500000000026,2,500,0.25,115,30,63,440
992,301.1800000000012,8,405,1.0,40,18,45,247
993,175.62999999999826,7,500,0.875,85,45,54,426
994,32.27499999999821,2,500,0.25,223,89,18,300
995,307.27499999999804,8,308,1.0,74,30,22,207
996,88.96500000000182,4,500,0.5,21,21,26,188
997,301.5199999999973,8,452,1.0,22,14,49,277
998,145.32999999999714,6,500,0.75,51,24,61,359
999,311.2499999999987,8,216,1.0,13,11,18,151
1000,311.75499999999784,8,164,1.0,6,8,19,104
1001,311.9299999999977,8,178,1.0,10,13,3,80
1002,308.1249999999979,8,249,1.0,26,19,18,140
1003,34.374999999997456,2,500,0.25,44,45,11,197
1004,9.105000000000368,1,500,0.125,144,37,55,333
1005,311.63499999999794,8,190,1.0,18,14,10,111
1006,145.1850000000005,6,500,0.75,37,38,72,457
1007,115.84499999999917,5,500,0.625,171,42,79,426
1008,305.45499999999663,8,484,1.0,21,12,44,339
1009,312.14500000000027,8,196,1.0,1,2,16,115
1010,9.89500000000038,1,500,0.125,48,30,16,211
