episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2,distancia_percorrida
1376,294.20500000000004,8,480,1.0,121,66,49,516
1377,292.56999999999994,8,450,1.0,124,58,57,479
1378,18.005,1,500,0.125,120,65,56,554
1379,119.265,5,500,0.625,169,72,63,490
1380,300.54,8,360,1.0,107,45,50,365
1381,174.99000000000012,7,500,0.875,139,58,62,536
1382,-3.9199999999999995,0,500,0.0,157,71,70,527
1383,-6.444999999999996,0,500,0.0,93,65,76,552
1384,98.32499999999999,4,500,0.5,125,62,77,550
1385,170.11499999999972,7,500,0.875,146,67,68,502
1386,-12.714999999999987,0,500,0.0,128,57,59,503
1387,291.34999999999957,8,463,1.0,104,63,59,524
1388,-4.7649999999999855,0,500,0.0,173,54,73,479
1389,142.46499999999992,6,500,0.75,162,83,68,508
1390,175.88,7,500,0.875,138,65,57,522
1391,-1.4749999999999948,0,500,0.0,113,63,70,554
1392,174.60499999999985,7,500,0.875,131,65,74,550
1393,-11.889999999999986,0,500,0.0,102,70,71,562
1394,143.91000000000008,6,500,0.75,119,69,61,548
1395,95.95500000000003,4,500,0.5,143,67,69,527
1396,150.20999999999984,6,500,0.75,109,68,59,549
1397,-10.065,0,500,0.0,131,79,68,564
1398,115.83499999999994,5,500,0.625,174,63,76,505
1399,176.59499999999997,7,500,0.875,139,61,56,515
1400,144.69499999999996,6,500,0.75,140,70,70,519
1401,70.61999999999993,3,500,0.375,162,57,72,487
1402,-4.2649999999999935,0,500,0.0,137,67,76,540
1403,-8.214999999999996,0,500,0.0,139,70,60,520
1404,-6.499999999999998,0,500,0.0,112,73,70,558
1405,-11.099999999999984,0,500,0.0,154,71,60,519
1406,299.5800000000001,8,400,1.0,125,59,51,429
1407,146.94500000000016,6,500,0.75,150,63,54,528
1408,-9.564999999999998,0,500,0.0,106,68,69,538
1409,297.75999999999976,8,309,1.0,99,46,38,322
1410,43.15000000000007,2,500,0.25,161,74,55,495
1411,291.6299999999998,8,466,1.0,121,59,63,502
1412,-5.679999999999995,0,500,0.0,106,68,70,552
1413,-13.599999999999998,0,500,0.0,132,76,53,541
1414,177.7149999999994,7,500,0.875,112,56,67,556
1415,170.41499999999988,7,500,0.875,128,79,75,531
1416,291.7400000000001,8,499,1.0,148,66,67,529
1417,-10.224999999999994,0,500,0.0,102,68,51,526
1418,171.91000000000003,7,500,0.875,126,66,77,535
1419,308.45499999999987,8,217,1.0,47,32,28,251
1420,45.19500000000002,2,500,0.25,123,58,61,536
1421,21.13,1,500,0.125,128,64,70,526
1422,174.64999999999975,7,500,0.875,125,79,60,545
1423,292.6699999999998,8,421,1.0,104,54,61,439
1424,-13.044999999999993,0,500,0.0,155,80,44,498
1425,-2.1449999999999956,0,500,0.0,124,58,59,532
1426,100.69,4,500,0.5,154,61,59,518
1427,-10.99999999999999,0,500,0.0,119,72,55,561
1428,37.950000000000045,2,500,0.25,123,77,87,568
1429,113.24999999999994,5,500,0.625,113,50,59,547
1430,40.70000000000019,2,500,0.25,129,80,54,543
1431,116.6999999999995,5,500,0.625,128,56,65,543
1432,-14.084999999999997,0,500,0.0,130,66,70,547
1433,170.9399999999998,7,500,0.875,118,73,80,555
1434,-8.140000000000008,0,500,0.0,122,71,63,571
1435,161.6600000000002,7,500,0.875,106,73,72,553
1436,95.95000000000002,4,500,0.5,123,70,70,552
1437,-10.900000000000002,0,500,0.0,159,47,66,504
1438,162.30499999999998,7,500,0.875,121,67,54,534
1439,119.25999999999978,5,500,0.625,155,77,70,523
1440,-7.069999999999993,0,500,0.0,131,65,75,536
1441,302.7099999999997,8,399,1.0,102,64,51,451
1442,302.575,8,369,1.0,83,47,44,400
1443,-10.025000000000004,0,500,0.0,163,61,58,506
1444,-7.574999999999999,0,500,0.0,148,58,78,513
1445,174.66000000000005,7,500,0.875,118,66,66,548
1446,-7.5349999999999975,0,500,0.0,120,56,63,541
1447,-21.149999999999974,0,500,0.0,115,70,88,560
1448,-5.415000000000005,0,500,0.0,117,69,66,554
1449,21.04499999999999,1,500,0.125,111,71,60,544
1450,120.32499999999956,5,500,0.625,147,70,62,503
1451,119.78499999999991,5,500,0.625,143,70,46,535
1452,36.34500000000025,2,500,0.25,163,67,71,511
1453,-9.714999999999986,0,500,0.0,114,77,67,539
1454,91.78500000000001,4,500,0.5,190,55,64,482
1455,145.275,6,500,0.75,149,51,65,503
1456,-8.914999999999996,0,500,0.0,107,58,69,552
1457,47.635000000000026,2,500,0.25,174,50,63,478
1458,-6.0749999999999895,0,500,0.0,137,67,64,547
1459,169.23000000000005,7,500,0.875,150,64,87,529
1460,95.45000000000002,4,500,0.5,146,79,61,518
1461,-8.874999999999995,0,500,0.0,135,69,67,529
1462,299.28,8,468,1.0,112,71,65,500
1463,114.23999999999954,5,500,0.625,127,55,60,547
1464,118.52499999999952,5,500,0.625,148,79,65,535
1465,-9.654999999999992,0,500,0.0,138,81,53,530
1466,119.715,5,500,0.625,130,70,64,543
1467,293.36999999999966,8,447,1.0,116,66,63,493
1468,-4.099999999999999,0,500,0.0,139,60,65,513
1469,19.174999999999983,1,500,0.125,168,77,75,531
1470,118.62499999999987,5,500,0.625,139,79,69,518
1471,96.70999999999967,4,500,0.5,108,77,61,532
1472,-2.1349999999999945,0,500,0.0,145,56,70,520
1473,99.1749999999999,4,500,0.5,123,52,64,549
1474,-7.879999999999998,0,500,0.0,177,55,67,484
1475,1.0649999999999997,0,500,0.0,153,67,59,533
1476,18.374999999999996,1,500,0.125,131,64,68,559
1477,115.13999999999966,5,500,0.625,121,68,74,550
1478,306.8799999999999,8,468,1.0,110,60,51,519
1479,161.58999999999997,7,500,0.875,157,66,54,515
1480,145.36500000000007,6,500,0.75,160,81,53,513
1481,-14.284999999999984,0,500,0.0,113,74,73,564
1482,-5.510000000000003,0,500,0.0,142,75,79,526
1483,178.68499999999952,7,500,0.875,126,71,60,568
1484,294.45000000000005,8,401,1.0,107,61,56,411
1485,144.87499999999963,6,500,0.75,115,62,65,542
1486,-2.515000000000001,0,500,0.0,151,62,47,486
1487,65.30499999999944,3,500,0.375,169,55,73,487
1488,-2.285000000000002,0,500,0.0,121,57,70,524
1489,36.40000000000023,2,500,0.25,160,73,65,511
1490,172.27,7,500,0.875,115,54,90,549
1491,299.9549999999999,8,395,1.0,93,39,53,433
1492,292.6849999999999,8,487,1.0,129,81,60,512
1493,150.03999999999954,6,500,0.75,132,59,65,543
1494,120.99500000000002,5,500,0.625,156,75,59,517
1495,25.08500000000002,1,500,0.125,146,55,71,545
1496,309.06000000000006,8,319,1.0,98,22,42,324
1497,-7.16,0,500,0.0,126,67,76,545
1498,0.18500000000000116,0,500,0.0,142,52,67,528
1499,294.6949999999999,8,391,1.0,122,50,58,413
1500,171.47000000000008,7,500,0.875,161,54,69,497
1501,148.14499999999998,6,500,0.75,144,61,58,532
1502,-11.029999999999989,0,500,0.0,131,88,59,532
1503,-4.609999999999998,0,500,0.0,143,53,75,512
1504,122.52500000000006,5,500,0.625,153,57,55,507
1505,172.2999999999999,7,500,0.875,171,63,72,519
1506,24.665,1,500,0.125,127,66,69,544
1507,171.4949999999998,7,500,0.875,155,60,74,519
1508,-5.44999999999998,0,500,0.0,103,64,65,589
1509,73.16499999999982,3,500,0.375,154,60,62,507
1510,96.09499999999991,4,500,0.5,156,71,63,513
1511,58.26500000000004,3,500,0.375,145,63,65,509
1512,173.0149999999997,7,500,0.875,124,68,75,542
1513,-10.165,0,500,0.0,140,65,69,527
