episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2
132,86.56499999999986,4,500,0.5,107,46,34
133,-26.614999999999878,0,500,0.0,280,38,102
134,1.5950000000000633,1,500,0.125,227,46,93
135,-26.279999999999895,0,500,0.0,300,56,83
136,-24.11999999999985,0,500,0.0,251,69,53
137,5.715000000000106,1,500,0.125,119,38,58
138,-21.9649999999999,0,500,0.0,193,58,44
139,9.585000000000178,1,500,0.125,72,28,36
140,-23.249999999999872,0,500,0.0,312,73,48
141,-22.37499999999986,0,500,0.0,156,63,29
142,2.2550000000000985,1,500,0.125,327,92,41
143,-21.964999999999883,0,500,0.0,131,51,35
144,111.56499999999899,5,500,0.625,246,97,26
145,-24.639999999999883,0,500,0.0,279,88,28
146,-19.32499999999985,0,500,0.0,109,49,22
147,-23.174999999999855,0,500,0.0,168,57,30
148,-19.86499999999987,0,500,0.0,104,50,32
149,27.97500000000018,2,500,0.25,317,100,38
150,4.260000000000129,1,500,0.125,228,71,24
151,-22.20499999999987,0,500,0.0,138,57,39
152,-24.589999999999858,0,500,0.0,286,77,33
153,-23.979999999999837,0,500,0.0,256,84,29
154,29.320000000000192,2,500,0.25,252,80,39
155,4.565000000000172,1,500,0.125,278,74,24
156,-25.619999999999898,0,500,0.0,298,104,34
157,0.015000000000099961,1,500,0.125,271,96,39
158,-25.964999999999854,0,500,0.0,265,97,28
159,-27.689999999999817,0,500,0.0,312,100,33
160,32.07500000000013,2,500,0.25,171,56,27
161,26.455000000000176,2,500,0.25,286,75,26
162,7.715000000000163,1,500,0.125,166,42,26
163,29.71000000000016,2,500,0.25,195,7,75
164,54.234999999999516,3,500,0.375,305,85,33
165,57.359999999999616,3,500,0.375,192,17,61
166,79.96999999999987,4,500,0.5,406,48,102
167,-25.794999999999835,0,500,0.0,285,20,91
168,30.53500000000015,2,500,0.25,219,16,66
169,87.8549999999984,4,500,0.5,193,54,18
170,5.005000000000072,1,500,0.125,89,13,37
171,57.31500000000009,3,500,0.375,236,81,22
172,87.73999999999842,4,500,0.5,168,44,26
173,32.31000000000024,2,500,0.25,84,25,24
174,-21.704999999999878,0,500,0.0,154,63,20
175,-22.04999999999982,0,500,0.0,150,19,57
176,34.89000000000015,2,500,0.25,66,29,31
177,-21.094999999999903,0,500,0.0,103,13,63
178,34.01000000000028,2,500,0.25,102,20,27
179,-12.934999999999928,0,500,0.0,40,15,19
180,31.450000000000223,2,500,0.25,52,14,18
181,77.9999999999998,4,500,0.5,56,11,19
182,-20.42999999999981,0,500,0.0,79,22,22
183,31.85500000000026,2,500,0.25,102,21,42
184,58.79499999999888,3,500,0.375,132,20,38
185,60.600000000000186,3,500,0.375,22,12,13
186,59.999999999998614,3,500,0.375,65,8,32
187,56.489999999999625,3,500,0.375,219,49,31
188,13.63000000000003,1,500,0.125,279,80,15
189,24.57500000000009,2,500,0.25,239,48,29
190,3.215000000000122,1,500,0.125,199,15,58
191,1.4850000000001466,1,500,0.125,243,13,77
192,-32.91499999999997,0,500,0.0,103,7,31
193,28.735000000000216,2,500,0.25,219,8,69
194,49.999999999999865,3,500,0.375,424,66,62
195,-17.13999999999993,0,500,0.0,16,4,4
196,-22.89999999999983,0,500,0.0,242,28,49
197,-19.554999999999907,0,500,0.0,283,71,26
198,-30.410000000000146,0,500,0.0,108,4,39
199,-22.964999999999748,0,500,0.0,161,2,41
200,2.200000000000066,1,500,0.125,216,39,43
201,6.400000000000207,1,500,0.125,161,31,26
202,-0.790000000000056,1,500,0.125,208,70,80
203,-26.399999999999917,0,500,0.0,346,102,95
204,-22.73499999999987,0,500,0.0,221,63,31
205,-21.53500000000007,0,500,0.0,47,8,8
206,-18.790000000000127,0,500,0.0,87,89,22
207,-24.195000000000075,0,500,0.0,106,16,26
208,-32.310000000000066,0,500,0.0,220,33,47
209,-29.409999999999837,0,500,0.0,312,63,45
210,-14.76999999999992,0,500,0.0,235,73,2
211,-18.849999999999785,0,500,0.0,5,1,2
212,-24.760000000000048,0,500,0.0,12,4,3
