episodio,recompensa,entregas,steps,taxa_sucesso,colisoes,falha_r1,falha_r2
133,7.595000000000075,1,500,0.125,173,58,63
134,-17.659999999999943,0,500,0.0,168,56,47
135,36.71500000000019,2,500,0.25,159,51,54
136,-18.46499999999996,0,500,0.0,180,73,55
137,-20.369999999999926,0,500,0.0,202,58,69
138,36.47000000000019,2,500,0.25,139,65,64
139,119.78999999999947,5,500,0.625,141,63,60
140,91.00999999999925,4,500,0.5,163,63,61
141,8.490000000000059,1,500,0.125,182,70,53
142,121.03999999999958,5,500,0.625,135,73,53
143,302.06000000000006,8,408,1.0,98,48,42
144,173.16999999999973,7,500,0.875,102,62,54
145,-17.88499999999998,0,500,0.0,181,64,58
146,118.20999999999958,5,500,0.625,135,72,71
147,-17.514999999999954,0,500,0.0,162,49,61
148,115.80499999999984,5,500,0.625,130,71,65
149,62.46999999999946,3,500,0.375,137,76,42
150,8.585000000000104,1,500,0.125,132,63,51
151,93.01999999999924,4,500,0.5,150,70,54
152,169.6750000000001,7,500,0.875,118,67,57
153,175.8199999999999,7,500,0.875,92,61,59
154,171.12000000000057,7,500,0.875,90,44,56
155,116.97499999999927,5,500,0.625,146,46,72
156,122.75499999999946,5,500,0.625,126,52,48
157,5.275000000000032,1,500,0.125,123,82,62
158,2.37500000000006,1,500,0.125,180,86,57
159,37.25000000000006,2,500,0.25,173,60,76
160,6.790000000000058,1,500,0.125,196,73,67
161,37.2450000000001,2,500,0.25,181,60,61
162,93.03499999999933,4,500,0.5,148,46,50
163,9.800000000000038,1,500,0.125,135,79,65
164,-21.26999999999993,0,500,0.0,195,79,61
165,36.335000000000164,2,500,0.25,152,78,52
166,-18.294999999999963,0,500,0.0,189,59,51
167,119.53999999999952,5,500,0.625,130,59,59
168,8.595000000000054,1,500,0.125,161,78,46
169,147.1449999999999,6,500,0.75,106,73,69
170,120.72999999999956,5,500,0.625,100,62,60
171,303.77000000000004,8,311,1.0,88,39,29
172,-17.68999999999995,0,500,0.0,102,63,52
173,8.63500000000007,1,500,0.125,164,63,49
174,90.17499999999919,4,500,0.5,163,64,56
175,88.8699999999994,4,500,0.5,146,75,68
176,149.70000000000027,6,500,0.75,124,60,43
177,-21.33999999999993,0,500,0.0,164,74,45
178,167.53000000000029,7,500,0.875,89,63,46
179,-20.714999999999954,0,500,0.0,177,76,45
180,302.95999999999975,8,425,1.0,87,57,59
181,62.68499999999902,3,500,0.375,172,56,50
182,141.08000000000004,6,500,0.75,127,47,75
183,172.65500000000023,7,500,0.875,116,66,50
184,9.440000000000074,1,500,0.125,146,47,53
185,119.7049999999995,5,500,0.625,89,63,41
186,88.0749999999996,4,500,0.5,149,69,62
187,-18.854999999999936,0,500,0.0,142,63,46
188,6.225000000000071,1,500,0.125,184,64,65
189,118.9449999999996,5,500,0.625,145,55,54
190,8.365000000000059,1,500,0.125,150,71,46
191,122.56999999999972,5,500,0.625,160,59,56
192,63.149999999999395,3,500,0.375,176,65,70
193,6.1400000000000645,1,500,0.125,191,68,67
194,8.570000000000025,1,500,0.125,160,70,61
195,36.815000000000104,2,500,0.25,164,72,75
196,38.56500000000022,2,500,0.25,189,67,75
197,64.31499999999966,3,500,0.375,151,68,81
198,-22.499999999999947,0,500,0.0,185,75,64
199,33.27500000000015,2,500,0.25,147,72,63
200,66.96999999999944,3,500,0.375,168,60,76
201,7.915000000000073,1,500,0.125,177,61,53
202,172.47499999999997,7,500,0.875,118,63,58
203,39.97000000000008,2,500,0.25,125,50,70
204,-17.964999999999932,0,500,0.0,147,49,45
205,-17.924999999999965,0,500,0.0,103,53,52
206,-19.81999999999994,0,500,0.0,180,54,48
207,92.009999999999,4,500,0.5,162,63,46
208,120.72999999999992,5,500,0.625,143,48,39
209,36.52000000000018,2,500,0.25,134,60,56
210,7.125000000000069,1,500,0.125,94,63,62
211,-17.769999999999925,0,500,0.0,135,41,47
212,36.61500000000013,2,500,0.25,154,42,75
213,65.6249999999994,3,500,0.375,134,71,58
214,144.9400000000002,6,500,0.75,129,59,57
215,35.41500000000022,2,500,0.25,208,54,59
216,91.35999999999929,4,500,0.5,157,72,45
217,144.64999999999975,6,500,0.75,156,66,67
218,93.53999999999952,4,500,0.5,140,58,53
219,88.14999999999927,4,500,0.5,170,66,55
220,38.64500000000014,2,500,0.25,138,75,65
221,118.09499999999943,5,500,0.625,173,86,55
222,67.96999999999939,3,500,0.375,135,71,53
223,112.1649999999991,5,500,0.625,167,74,72
224,32.99500000000027,2,500,0.25,168,63,44
225,5.250000000000054,1,500,0.125,176,69,53
226,7.110000000000078,1,500,0.125,183,50,59
227,4.78500000000005,1,500,0.125,208,61,50
228,34.505000000000166,2,500,0.25,213,61,50
229,38.17500000000022,2,500,0.25,162,50,60
230,147.56000000000023,6,500,0.75,146,50,59
231,7.535000000000056,1,500,0.125,183,47,73
232,61.194999999999354,3,500,0.375,157,68,55
233,92.3049999999994,4,500,0.5,122,68,61
234,32.185000000000144,2,500,0.25,197,87,55
235,122.24499999999972,5,500,0.625,177,50,56
236,143.58499999999955,6,500,0.75,136,65,66
237,63.6699999999991,3,500,0.375,141,69,51
238,-20.764999999999933,0,500,0.0,174,57,65
239,58.3599999999991,3,500,0.375,192,69,58
240,60.58499999999991,3,500,0.375,140,50,61
241,170.9800000000005,7,500,0.875,144,65,61
242,172.1050000000002,7,500,0.875,133,80,66
243,93.09499999999939,4,500,0.5,148,58,57
244,303.30999999999995,8,183,1.0,19,15,12
245,87.94999999999942,4,500,0.5,149,66,53
246,303.05999999999995,8,204,1.0,43,27,22
247,86.04499999999886,4,500,0.5,123,65,62
248,35.67000000000016,2,500,0.25,116,70,50
249,35.33500000000011,2,500,0.25,153,76,53
250,306.3600000000001,8,246,1.0,43,19,21
251,173.0350000000007,7,500,0.875,146,60,38
252,7.630000000000068,1,500,0.125,140,63,33
253,37.240000000000165,2,500,0.25,120,66,39
254,90.1849999999989,4,500,0.5,137,61,45
255,34.32000000000018,2,500,0.25,172,59,42
256,6.945000000000132,1,500,0.125,177,53,42
257,-23.739999999999906,0,500,0.0,196,57,64
258,62.00499999999902,3,500,0.375,154,46,53
259,118.19999999999906,5,500,0.625,168,58,58
260,62.009999999999295,3,500,0.375,164,63,61
261,90.17999999999908,4,500,0.5,136,51,63
262,5.1850000000000644,1,500,0.125,160,54,70
263,-19.149999999999938,0,500,0.0,163,41,61
264,9.155000000000095,1,500,0.125,173,50,44
265,-20.509999999999902,0,500,0.0,167,47,59
266,7.860000000000102,1,500,0.125,171,41,71
267,-20.99999999999993,0,500,0.0,183,49,67
268,6.80000000000006,1,500,0.125,153,55,66
269,36.17000000000016,2,500,0.25,187,56,71
270,-20.87499999999992,0,500,0.0,151,53,69
271,86.88499999999898,4,500,0.5,164,51,64
272,65.34999999999917,3,500,0.375,137,48,71
273,115.52999999999932,5,500,0.625,121,61,74
274,63.46499999999934,3,500,0.375,130,55,64
275,172.15499999999955,7,500,0.875,146,51,46
276,141.87000000000097,6,500,0.75,195,49,39
277,173.15000000000043,7,500,0.875,155,54,41
278,88.62499999999937,4,500,0.5,171,42,69
279,36.01000000000017,2,500,0.25,166,54,61
280,87.47499999999934,4,500,0.5,133,75,66
281,6.37000000000006,1,500,0.125,136,48,57
282,89.75999999999954,4,500,0.5,123,47,53
283,146.07500000000041,6,500,0.75,142,47,61
284,91.43999999999885,4,500,0.5,138,52,55
285,89.81499999999897,4,500,0.5,136,49,45
286,117.27000000000004,5,500,0.625,122,65,52
287,89.31499999999897,4,500,0.5,131,61,55
288,89.41499999999918,4,500,0.5,136,53,64
289,60.46999999999965,3,500,0.375,114,61,69
290,64.93499999999922,3,500,0.375,150,56,59
291,144.99499999999995,6,500,0.75,118,77,62
292,146.3049999999999,6,500,0.75,140,77,61
293,66.13499999999911,3,500,0.375,125,60,45
294,312.96500000000003,8,124,1.0,21,14,13
295,89.47999999999938,4,500,0.5,131,73,69
296,86.54499999999932,4,500,0.5,148,62,70
297,118.62999999999943,5,500,0.625,138,62,60
298,119.01499999999973,5,500,0.625,124,51,76
299,62.914999999999296,3,500,0.375,163,40,74
300,34.100000000000165,2,500,0.25,132,70,74
301,67.07499999999949,3,500,0.375,124,44,79
302,117.9199999999993,5,500,0.625,117,65,72
303,88.40500000000002,4,500,0.5,118,45,73
304,-20.88999999999995,0,500,0.0,148,80,63
305,121.26499999999946,5,500,0.625,132,75,59
306,33.79000000000003,2,500,0.25,142,66,74
307,-17.819999999999958,0,500,0.0,121,67,65
308,67.95000000000005,3,500,0.375,127,64,77
309,145.75499999999943,6,500,0.75,156,59,65
310,173.11499999999984,7,500,0.875,118,54,65
311,91.11999999999927,4,500,0.5,112,62,73
312,10.425000000000022,1,500,0.125,151,66,63
313,61.36999999999942,3,500,0.375,184,72,72
314,145.90999999999983,6,500,0.75,197,57,64
315,-19.189999999999998,0,500,0.0,164,68,56
316,5.965000000000072,1,500,0.125,197,80,59
317,39.955000000000176,2,500,0.25,142,60,58
318,143.8300000000001,6,500,0.75,146,54,79
319,65.5999999999998,3,500,0.375,117,50,84
320,174.13499999999993,7,500,0.875,120,60,67
321,307.60500000000025,8,400,1.0,122,30,52
322,86.96499999999965,4,500,0.5,159,47,67
323,168.06500000000003,7,500,0.875,184,70,64
324,170.67500000000027,7,500,0.875,140,46,72
325,7.835000000000117,1,500,0.125,192,65,61
326,100.77999999999963,4,500,0.5,201,52,65
327,109.07499999999973,5,500,0.625,180,44,76
328,84.91499999999992,4,500,0.5,159,84,55
329,145.4050000000004,6,500,0.75,133,43,78
330,12.055000000000097,1,500,0.125,204,60,65
331,311.04999999999995,8,170,1.0,34,21,18
332,308.1299999999998,8,322,1.0,70,32,45
333,144.94500000000025,6,500,0.75,151,73,56
334,171.59500000000025,7,500,0.875,95,55,56
335,175.5649999999999,7,500,0.875,133,48,57
336,177.10500000000042,7,500,0.875,101,58,33
337,306.5150000000002,8,314,1.0,77,38,41
338,172.78999999999976,7,500,0.875,117,53,68
339,302.4599999999999,8,354,1.0,77,44,48
340,305.2549999999999,8,495,1.0,90,61,48
341,174.78000000000034,7,500,0.875,96,59,63
342,311.85000000000014,8,158,1.0,27,20,16
343,174.12000000000003,7,500,0.875,114,67,57
344,303.365,8,286,1.0,71,24,37
345,300.58,8,408,1.0,108,52,50
346,147.45000000000016,6,500,0.75,118,47,77
347,120.29499999999936,5,500,0.625,98,61,49
348,-17.385,0,500,0.0,202,36,62
349,91.35499999999915,4,500,0.5,144,60,69
350,310.18499999999995,8,292,1.0,72,30,31
351,175.35000000000065,7,500,0.875,129,52,49
352,174.75500000000028,7,500,0.875,74,53,66
353,304.83000000000004,8,329,1.0,73,45,33
354,176.13499999999945,7,500,0.875,114,67,31
355,297.7650000000009,8,452,1.0,79,45,47
356,151.2600000000002,6,500,0.75,85,48,49
357,61.08499999999964,3,500,0.375,85,65,65
358,304.1,8,495,1.0,73,61,58
359,167.89000000000036,7,500,0.875,104,50,38
360,144.97000000000034,6,500,0.75,120,61,60
361,-20.57999999999994,0,500,0.0,190,93,46
362,90.17499999999943,4,500,0.5,153,61,59
363,175.66999999999945,7,500,0.875,98,50,73
364,-22.524999999999938,0,500,0.0,280,78,64
365,171.71999999999989,7,500,0.875,113,65,71
366,170.05499999999995,7,500,0.875,204,79,60
367,305.33500000000004,8,471,1.0,91,56,54
368,120.82999999999944,5,500,0.625,146,81,43
369,304.8949999999995,8,359,1.0,89,48,39
370,173.8450000000001,7,500,0.875,125,65,51
371,147.175,6,500,0.75,137,63,47
372,305.9949999999999,8,441,1.0,85,56,52
373,-12.75499999999995,0,500,0.0,180,72,62
374,90.6049999999996,4,500,0.5,133,54,64
375,175.71499999999995,7,500,0.875,134,56,65
376,179.22999999999956,7,500,0.875,102,69,50
377,176.475,7,500,0.875,101,53,58
378,310.07499999999993,8,170,1.0,34,28,26
379,176.5050000000003,7,500,0.875,94,59,57
380,175.20999999999978,7,500,0.875,127,54,57
381,174.7449999999999,7,500,0.875,104,57,60
382,308.9599999999999,8,262,1.0,59,27,30
383,174.5750000000001,7,500,0.875,131,61,49
384,307.39499999999987,8,309,1.0,68,33,40
385,309.1,8,175,1.0,25,20,29
386,173.53000000000011,7,500,0.875,129,54,63
387,92.72999999999915,4,500,0.5,166,61,66
388,308.27499999999986,8,261,1.0,55,41,36
389,171.67999999999978,7,500,0.875,134,82,66
390,307.12499999999994,8,325,1.0,102,48,42
391,172.5399999999998,7,500,0.875,143,73,80
392,305.5299999999995,8,444,1.0,99,74,54
393,309.765,8,183,1.0,33,18,20
394,309.5699999999998,8,310,1.0,75,49,33
395,172.34000000000006,7,500,0.875,133,70,69
396,145.71499999999997,6,500,0.75,153,77,72
397,300.46999999999997,8,472,1.0,99,67,73
398,177.92499999999987,7,500,0.875,84,60,55
399,147.18499999999963,6,500,0.75,134,57,85
400,173.16999999999982,7,500,0.875,114,61,64
401,116.37999999999991,5,500,0.625,153,82,55
402,175.35499999999962,7,500,0.875,105,63,63
403,-14.579999999999997,0,500,0.0,129,66,47
404,307.77999999999986,8,365,1.0,95,42,53
405,67.19999999999904,3,500,0.375,173,66,35
406,175.06999999999968,7,500,0.875,119,74,59
407,300.985,8,386,1.0,91,36,44
408,306.6449999999999,8,377,1.0,103,48,54
409,125.2899999999995,5,500,0.625,124,62,57
410,143.67000000000033,6,500,0.75,106,52,76
411,308.30000000000007,8,204,1.0,36,21,19
