episodio,recompensa,entregas,steps,taxa_sucesso,sucesso_completo,colisoes,falha_r1,falha_r2,distancia
1629,57.52400000000009,2,1000,0.25,0.0,629,109,120,803
1630,71.14199999999956,3,1000,0.375,0.0,755,61,131,553
1631,4.630000000000006,0,1000,0.0,0.0,366,126,52,873
1632,-4.168000000000003,0,1000,0.0,0.0,563,147,81,900
1633,41.29199999999976,1,1000,0.125,0.0,292,139,81,1117
1634,18.954000000000537,1,1000,0.125,0.0,778,151,92,737
1635,29.84000000000057,2,1000,0.25,0.0,273,34,43,207
1636,40.5440000000003,2,1000,0.25,0.0,1035,135,103,595
1637,10.644000000000148,1,1000,0.125,0.0,725,131,76,659
1638,15.500000000000723,1,1000,0.125,0.0,632,135,69,635
1639,8.406000000000603,1,1000,0.125,0.0,476,80,68,469
1640,-24.279999999999745,0,1000,0.0,0.0,644,137,49,533
1641,12.764000000000076,1,1000,0.125,0.0,529,126,50,630
1642,5.026000000000161,1,1000,0.125,0.0,704,120,42,457
1643,-27.585999999999714,0,1000,0.0,0.0,805,88,118,520
1644,1.560000000000048,1,1000,0.125,0.0,814,154,77,616
1645,10.64400000000011,1,1000,0.125,0.0,579,123,61,688
1646,11.866000000000085,1,1000,0.125,0.0,597,104,91,701
1647,28.378000000000185,2,1000,0.25,0.0,589,139,50,512
1648,33.714000000000446,2,1000,0.25,0.0,571,99,35,403
1649,22.246000000000436,1,1000,0.125,0.0,343,87,123,926
1650,18.634000000000285,1,1000,0.125,0.0,626,102,141,917
1651,11.284000000000104,1,1000,0.125,0.0,1041,148,142,792
1652,-20.699999999999683,0,1000,0.0,0.0,608,90,64,574
1653,-6.30600000000001,0,1000,0.0,0.0,158,80,85,858
1654,14.172000000000116,1,1000,0.125,0.0,1083,127,147,788
1655,6.360000000000002,0,1000,0.0,0.0,515,102,119,981
1656,22.99400000000034,1,1000,0.125,0.0,756,102,143,958
1657,-3.6660000000000132,0,1000,0.0,0.0,729,93,149,781
1658,-16.375999999999912,0,1000,0.0,0.0,286,12,111,547
1659,-27.349999999999586,0,1000,0.0,0.0,922,84,135,434
1660,-49.667999999999935,0,1000,0.0,0.0,284,6,68,186
1661,-33.42199999999978,0,1000,0.0,0.0,687,86,68,347
1662,-38.9199999999995,0,1000,0.0,0.0,42,4,4,53
1663,106.09399999999721,4,1000,0.5,0.0,684,97,60,421
1664,-38.435999999999666,0,1000,0.0,0.0,357,3,90,243
1665,-26.07399999999952,0,1000,0.0,0.0,294,46,55,352
1666,-29.60999999999943,0,1000,0.0,0.0,296,37,50,202
1667,-20.981999999999672,0,1000,0.0,0.0,735,49,101,338
1668,-22.937999999999498,0,1000,0.0,0.0,568,64,74,355
